entry_ts,side,l1_px,l2_filled,avg_entry,exit_ts,exit_px,pnl_pct_pos,bars_held,reason
2026-05-13 21:15:00,LONG,79392.57534,False,79392.57534,2026-05-14 01:00:00,79641.28581434845,0.008798000000000469,45,TP
2026-05-14 01:05:00,LONG,79586.21406,False,79586.21406,2026-05-14 01:35:00,79358.10935900883,-0.009198400000000106,6,SL
2026-05-14 03:40:00,LONG,79182.43332000001,False,79182.43332000001,2026-05-14 03:55:00,78955.48590844711,-0.00919840000000019,3,SL
2026-05-14 07:20:00,LONG,79737.74436,False,79737.74436,2026-05-14 10:05:00,79509.20535296499,-0.009198400000000126,33,SL
2026-05-14 12:10:00,LONG,79343.96562,False,79343.96562,2026-05-14 12:35:00,79592.52381629894,0.008798000000000685,5,TP
2026-05-14 16:05:00,SHORT,81408.41506,False,81408.41506,2026-05-14 16:50:00,81153.28108720196,0.00880199999999991,9,TP
2026-05-14 16:55:00,SHORT,81822.93214,False,81822.93214,2026-05-14 17:15:00,81566.49907067325,0.008801999999999808,4,TP
2026-05-14 17:20:00,SHORT,81378.32108000001,False,81378.32108000001,2026-05-14 17:35:00,81611.64900220057,-0.009201599999999623,3,SL
2026-05-15 13:30:00,LONG,79699.9368,False,79699.9368,2026-05-15 13:35:00,79252.74628,-0.017432780725617433,1,SL
2026-05-15 15:40:00,LONG,79073.01144,False,79073.01144,2026-05-15 16:30:00,79320.72082717106,0.008798000000000496,10,TP
2026-05-16 04:05:00,LONG,79102.91742,False,79102.91742,2026-05-16 04:30:00,78870.2228,-0.009425007759113119,5,SL
2026-05-16 06:55:00,LONG,78625.92203999999,False,78625.92203999999,2026-05-16 07:05:00,78397.91728000001,-0.009299602653333093,2,SL
2026-05-17 01:45:00,LONG,77782.85346,False,77782.85346,2026-05-17 03:50:00,78026.52121227236,0.008798000000000084,25,TP
2026-05-17 06:30:00,LONG,78078.91266,False,78078.91266,2026-05-17 10:10:00,78323.50786705957,0.00879800000000026,44,TP
2026-05-17 11:35:00,LONG,78337.96446,False,78337.96446,2026-05-17 13:15:00,78113.43740879571,-0.00919840000000014,20,SL
2026-05-17 21:05:00,LONG,78238.74462,False,78238.74462,2026-05-17 22:00:00,78014.50194608647,-0.009198399999999626,11,SL
2026-05-18 00:05:00,LONG,76995.49602,False,76995.49602,2026-05-18 00:15:00,77236.69724386533,0.008798000000000234,2,TP
2026-05-18 00:20:00,LONG,77171.43119999999,False,77171.43119999999,2026-05-18 00:30:00,76950.24758865662,-0.009198400000000287,2,SL
2026-05-18 02:35:00,LONG,76877.77248,False,76877.77248,2026-05-18 02:50:00,76657.43053370266,-0.009198399999999834,3,SL
2026-05-18 06:15:00,LONG,76805.55803999999,False,76805.55803999999,2026-05-18 08:00:00,77046.16425148664,0.008798000000000427,21,TP
2026-05-18 13:50:00,LONG,77023.60164,False,77023.60164,2026-05-18 14:00:00,76802.84172788619,-0.009198400000000492,2,SL
2026-05-18 16:05:00,LONG,76323.16157999999,False,76323.16157999999,2026-05-18 16:15:00,76562.25660417626,0.008797999999999868,2,TP
2026-05-18 16:20:00,LONG,76476.89232,False,76476.89232,2026-05-18 16:25:00,76233.65022,-0.01014178808608798,1,SL
2026-05-19 14:25:00,LONG,76438.08456,False,76438.08456,2026-05-19 14:30:00,76219.00281790644,-0.009198399999999829,1,SL
2026-05-21 00:40:00,SHORT,77684.46,False,77684.46,2026-05-21 00:45:00,77933.78364,-0.010228321031001094,1,SL
2026-05-21 18:00:00,SHORT,77651.36662,False,77651.36662,2026-05-21 18:20:00,77874.00861837286,-0.009201599999999675,4,SL
2026-05-22 03:45:00,SHORT,77732.35042,False,77732.35042,2026-05-22 05:55:00,77488.73723378373,0.008801999999999725,26,TP
2026-05-22 15:05:00,LONG,76864.56984,False,76864.56984,2026-05-22 15:20:00,76575.58181999999,-0.011879111582939588,3,SL
2026-05-22 19:35:00,LONG,75798.55668,False,75798.55668,2026-05-22 21:30:00,76036.00829189288,0.008798000000000307,23,TP
2026-05-23 04:50:00,LONG,75497.19642000001,False,75497.19642000001,2026-05-23 07:05:00,75280.81138876744,-0.00919839999999963,27,SL
