entry_ts,side,entry_px,exit_ts,exit_px_partial,exit_px_final,pnl_pct_pos,outcome,cum_ret,peak,dd
2021-05-08 04:25:00,SHORT,58387.400184000006,2021-05-08 04:35:00,58290.08785036,58399.077664036806,0.0016000000000000493,PARTIAL_THEN_BE,0.0016000000000000493,0.0016000000000000493,0.0
2021-05-08 04:45:00,SHORT,58113.365002,2021-05-08 05:15:00,58016.50939366333,57931.237716083735,0.006601000000000003,PARTIAL_THEN_FULL,0.008201000000000052,0.008201000000000052,0.0
2021-05-08 08:25:00,SHORT,59214.394752,2021-05-08 08:45:00,59115.70409408,59028.81683884723,0.0066009999999999845,PARTIAL_THEN_FULL,0.014802000000000037,0.014802000000000037,0.0
2021-05-08 08:55:00,SHORT,58946.218398000005,2021-05-08 09:10:00,58847.974700670005,58761.48094954067,0.006600999999999953,PARTIAL_THEN_FULL,0.02140299999999999,0.02140299999999999,0.0
2021-05-08 09:20:00,SHORT,58962.915058,2021-05-08 09:25:00,0.0,59171.28999981497,-0.011202000000000132,SL,0.01020099999999986,0.02140299999999999,0.011202000000000132
2021-05-08 09:35:00,SHORT,59011.485342,2021-05-08 09:45:00,58913.132866429994,58826.543346938175,0.00660100000000006,PARTIAL_THEN_FULL,0.01680199999999992,0.02140299999999999,0.00460100000000007
2021-05-08 09:55:00,SHORT,58860.645516,2021-05-08 10:10:00,58762.544440139995,58872.417645103196,0.0016000000000000745,PARTIAL_THEN_BE,0.018401999999999995,0.02140299999999999,0.0030009999999999967
2021-05-08 13:20:00,SHORT,59083.790878,2021-05-08 13:30:00,0.0,59292.592994962855,-0.011202000000000177,SL,0.007199999999999818,0.02140299999999999,0.014203000000000174
2021-05-08 13:40:00,SHORT,59373.932838,2021-05-08 13:45:00,59274.97628327,59187.85493248571,0.006601000000000021,PARTIAL_THEN_FULL,0.013800999999999838,0.02140299999999999,0.007602000000000154
2021-05-08 13:55:00,SHORT,58922.053232,2021-05-08 14:00:00,58823.84980994666,58737.391517170916,0.0066009999999999975,PARTIAL_THEN_FULL,0.020401999999999837,0.02140299999999999,0.0010010000000001545
2021-05-08 14:10:00,SHORT,58792.53914,2021-05-08 14:20:00,58694.551574766665,58804.297647827996,0.0016000000000001811,PARTIAL_THEN_BE,0.022002000000000018,0.022002000000000018,0.0
